xml,object_id,tier_1push,tier_hmax2,sr_1push,sr_hmax2,opener,setup,dead,blocked,tried
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00052/env.xml,obstacle_0_movable,easy,easy,0.6769,0.8154,88,18,0,24,130
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00060/env.xml,obstacle_0_movable,easy,easy,0.8,1.0,84,21,0,0,105
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00061/env.xml,obstacle_0_movable,easy,easy,0.8857,0.9786,124,13,0,3,140
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00064/env.xml,obstacle_0_movable,easy,easy,0.8533,0.9533,128,15,0,7,150
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00065/env.xml,obstacle_0_movable,easy,easy,0.56,1.0,42,33,0,0,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00066/env.xml,obstacle_0_movable,easy,easy,0.9769,1.0,127,3,0,0,130
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00070/env.xml,obstacle_0_movable,easy,easy,0.7185,0.963,97,33,0,5,135
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00071/env.xml,obstacle_0_movable,easy,easy,0.9286,0.9714,130,6,0,4,140
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00073/env.xml,obstacle_0_movable,easy,easy,0.575,0.8083,69,28,0,23,120
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00075/env.xml,obstacle_0_movable,easy,easy,0.9517,0.9586,138,1,0,6,145
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00078/env.xml,obstacle_0_movable,easy,easy,0.7778,0.8667,105,12,0,18,135
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00080/env.xml,obstacle_0_movable,easy,easy,0.8933,0.9933,134,15,0,1,150
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00081/env.xml,obstacle_0_movable,easy,easy,0.6174,1.0,71,44,0,0,115
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00085/env.xml,obstacle_0_movable,easy,easy,0.7043,0.7391,81,4,0,30,115
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00088/env.xml,obstacle_0_movable,easy,easy,0.8933,0.8933,134,0,0,16,150
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00091/env.xml,obstacle_0_movable,easy,easy,0.7895,0.7895,75,0,0,20,95
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00092/env.xml,obstacle_0_movable,easy,easy,0.8357,0.9286,117,13,0,10,140
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00097/env.xml,obstacle_0_movable,easy,easy,0.8,0.9724,116,25,0,4,145
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00099/env.xml,obstacle_0_movable,easy,easy,0.8333,0.9267,125,14,0,11,150
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00101/env.xml,obstacle_0_movable,easy,easy,0.944,0.984,118,5,0,2,125
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00106/env.xml,obstacle_0_movable,easy,easy,0.6267,1.0,47,28,0,0,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00108/env.xml,obstacle_0_movable,easy,easy,0.837,0.9556,113,16,0,6,135
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00111/env.xml,obstacle_0_movable,easy,easy,0.8593,0.9111,116,7,0,12,135
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00115/env.xml,obstacle_0_movable,easy,easy,0.85,0.9357,119,12,0,9,140
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00116/env.xml,obstacle_0_movable,easy,easy,0.7571,0.9429,106,26,0,8,140
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00119/env.xml,obstacle_0_movable,easy,easy,0.9333,0.9778,126,6,0,3,135
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00120/env.xml,obstacle_0_movable,easy,easy,0.7655,0.9241,111,23,0,11,145
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00122/env.xml,obstacle_0_movable,easy,easy,0.672,0.872,84,25,0,16,125
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00123/env.xml,obstacle_0_movable,easy,easy,0.5067,1.0,38,37,0,0,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00128/env.xml,obstacle_0_movable,easy,easy,0.688,0.824,86,17,0,22,125
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00131/env.xml,obstacle_0_movable,easy,easy,0.8182,0.9545,90,15,0,5,110
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00132/env.xml,obstacle_0_movable,easy,easy,0.8533,0.9533,128,15,0,7,150
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00136/env.xml,obstacle_0_movable,easy,easy,0.8593,0.9407,116,11,0,8,135
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00138/env.xml,obstacle_0_movable,easy,easy,0.513,0.8261,59,36,0,20,115
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00142/env.xml,obstacle_0_movable,easy,easy,0.5556,0.8222,50,24,0,16,90
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00145/env.xml,obstacle_0_movable,easy,easy,0.792,0.864,99,9,0,17,125
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00147/env.xml,obstacle_0_movable,easy,easy,0.9529,0.9765,81,2,0,2,85
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00148/env.xml,obstacle_0_movable,easy,easy,0.9926,0.9926,134,0,0,1,135
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00149/env.xml,obstacle_0_movable,easy,easy,0.7929,0.9143,111,17,0,12,140
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00150/env.xml,obstacle_0_movable,easy,easy,0.896,0.92,112,3,0,10,125
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00151/env.xml,obstacle_0_movable,easy,easy,0.9111,0.9444,82,3,0,5,90
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00152/env.xml,obstacle_0_movable,easy,easy,0.7185,0.8222,97,14,0,24,135
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00154/env.xml,obstacle_0_movable,easy,easy,0.4706,1.0,40,45,0,0,85
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00155/env.xml,obstacle_0_movable,easy,easy,0.9,0.975,108,9,0,3,120
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00159/env.xml,obstacle_0_movable,easy,easy,0.5071,0.7143,71,29,0,40,140
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00162/env.xml,obstacle_0_movable,easy,easy,0.54,0.8,81,39,0,30,150
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00163/env.xml,obstacle_0_movable,easy,easy,0.7714,1.0,81,24,0,0,105
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00171/env.xml,obstacle_0_movable,easy,easy,0.55,0.7857,77,33,0,30,140
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00172/env.xml,obstacle_0_movable,easy,easy,0.8133,0.92,61,8,0,6,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00173/env.xml,obstacle_0_movable,easy,easy,0.7923,0.9615,103,22,0,5,130
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00175/env.xml,obstacle_0_movable,easy,easy,0.96,0.9733,72,1,0,2,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00177/env.xml,obstacle_0_movable,easy,easy,0.7111,1.0,96,39,0,0,135
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00178/env.xml,obstacle_0_movable,easy,easy,0.8167,1.0,98,22,0,0,120
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00180/env.xml,obstacle_0_movable,easy,easy,0.8,0.888,100,11,0,14,125
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00184/env.xml,obstacle_0_movable,easy,easy,0.5926,0.8889,80,40,0,15,135
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00186/env.xml,obstacle_0_movable,easy,easy,0.8733,0.9667,131,14,0,5,150
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00187/env.xml,obstacle_0_movable,easy,easy,0.675,0.875,81,24,0,15,120
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00189/env.xml,obstacle_0_movable,easy,easy,0.7091,0.8091,78,11,0,21,110
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00190/env.xml,obstacle_0_movable,easy,easy,0.7,0.8,105,15,0,30,150
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00192/env.xml,obstacle_0_movable,easy,easy,0.7333,0.7556,66,2,0,22,90
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00197/env.xml,obstacle_0_movable,easy,easy,0.5,1.0,55,55,0,0,110
/common/users/dm1487/scratch_namo/real_buildable/pool1/easy/rb_00199/env.xml,obstacle_0_movable,easy,easy,0.512,0.784,64,34,0,27,125
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00000/env.xml,obstacle_0_movable,med,easy,0.1053,0.7053,10,57,8,20,95
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00002/env.xml,obstacle_0_movable,med,easy,0.15,0.64,15,49,0,36,100
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00003/env.xml,obstacle_0_movable,unsolvable,med,0.0,0.287,0,33,45,37,115
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00005/env.xml,obstacle_0_movable,med,easy,0.2667,0.7733,20,38,0,17,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00006/env.xml,obstacle_0_movable,hard,easy,0.0133,0.4133,2,60,86,2,150
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00009/env.xml,obstacle_0_movable,med,easy,0.0522,0.7304,6,78,19,12,115
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00014/env.xml,obstacle_0_movable,med,easy,0.0522,0.8348,6,90,0,19,115
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00015/env.xml,obstacle_0_movable,med,easy,0.0957,0.8609,11,88,12,4,115
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00016/env.xml,obstacle_0_movable,med,easy,0.2,0.5467,15,26,0,34,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00017/env.xml,obstacle_0_movable,unsolvable,hard,0.0,0.0483,0,7,77,61,145
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00019/env.xml,obstacle_0_movable,unsolvable,med,0.0,0.0552,0,8,111,26,145
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00020/env.xml,obstacle_0_movable,unsolvable,unsolvable,0.0,0.0,0,0,48,17,65
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00025/env.xml,obstacle_0_movable,med,easy,0.28,0.8667,21,44,0,10,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00028/env.xml,obstacle_0_movable,med,easy,0.18,0.44,9,13,4,24,50
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00029/env.xml,obstacle_0_movable,med,easy,0.2267,0.7333,17,38,0,20,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00030/env.xml,obstacle_0_movable,easy,easy,0.32,0.8,8,12,0,5,25
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00033/env.xml,obstacle_0_movable,hard,easy,0.0211,0.4211,2,38,4,51,95
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00037/env.xml,obstacle_0_movable,med,easy,0.1636,0.8273,18,73,7,12,110
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00038/env.xml,obstacle_0_movable,med,easy,0.0667,0.56,5,37,0,33,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00041/env.xml,obstacle_0_movable,med,easy,0.12,0.5333,9,31,0,35,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00044/env.xml,obstacle_0_movable,med,easy,0.28,0.7467,21,35,0,19,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00045/env.xml,obstacle_0_movable,unsolvable,med,0.0,0.2091,0,23,63,24,110
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00048/env.xml,obstacle_0_movable,med,easy,0.15,0.3,3,3,0,14,20
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00052/env.xml,obstacle_0_movable,unsolvable,easy,0.0,0.3455,0,19,30,6,55
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00059/env.xml,obstacle_0_movable,med,easy,0.24,0.7067,18,35,0,22,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00060/env.xml,obstacle_0_movable,unsolvable,med,0.0,0.2667,0,4,11,0,15
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00062/env.xml,obstacle_0_movable,unsolvable,med,0.0,0.2286,0,8,22,5,35
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00064/env.xml,obstacle_0_movable,unsolvable,med,0.0,0.25,0,30,61,29,120
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00065/env.xml,obstacle_0_movable,hard,easy,0.0345,0.331,5,43,89,8,145
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00066/env.xml,obstacle_0_movable,unsolvable,med,0.0,0.0667,0,7,72,26,105
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00068/env.xml,obstacle_0_movable,med,easy,0.05,0.3333,3,17,30,10,60
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00070/env.xml,obstacle_0_movable,hard,easy,0.0455,0.6273,5,64,15,26,110
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00071/env.xml,obstacle_0_movable,med,easy,0.15,0.91,15,76,3,6,100
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00077/env.xml,obstacle_0_movable,med,easy,0.1429,0.8571,15,75,3,12,105
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00079/env.xml,obstacle_0_movable,med,easy,0.0783,0.7913,9,82,11,13,115
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00084/env.xml,obstacle_0_movable,unsolvable,med,0.0,0.1467,0,22,111,17,150
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00085/env.xml,obstacle_0_movable,unsolvable,med,0.0,0.2538,0,33,77,20,130
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00087/env.xml,obstacle_0_movable,med,easy,0.14,0.78,7,32,2,9,50
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00088/env.xml,obstacle_0_movable,hard,easy,0.03,0.63,3,60,0,37,100
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00091/env.xml,obstacle_0_movable,med,easy,0.09,0.76,9,67,5,19,100
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00093/env.xml,obstacle_0_movable,unsolvable,easy,0.0,0.4417,0,53,16,51,120
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00094/env.xml,obstacle_0_movable,hard,easy,0.0286,0.3714,1,12,1,21,35
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00096/env.xml,obstacle_0_movable,unsolvable,med,0.0,0.06,0,9,114,27,150
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00097/env.xml,obstacle_0_movable,unsolvable,unsolvable,0.0,0.0,0,0,0,5,5
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00099/env.xml,obstacle_0_movable,med,easy,0.0824,0.6824,7,51,0,27,85
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00101/env.xml,obstacle_0_movable,med,easy,0.1286,0.8429,9,50,1,10,70
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00102/env.xml,obstacle_0_movable,med,easy,0.2667,0.7867,20,39,0,16,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00106/env.xml,obstacle_0_movable,med,easy,0.0857,0.8095,9,76,8,12,105
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00107/env.xml,obstacle_0_movable,easy,easy,0.4,1.0,18,27,0,0,45
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00108/env.xml,obstacle_0_movable,hard,easy,0.0364,0.4909,4,50,27,29,110
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00109/env.xml,obstacle_0_movable,med,easy,0.2933,0.8267,22,40,0,13,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00110/env.xml,obstacle_0_movable,hard,easy,0.0074,0.637,1,85,40,9,135
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00111/env.xml,obstacle_0_movable,med,easy,0.0533,0.76,4,53,0,18,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00113/env.xml,obstacle_0_movable,unsolvable,easy,0.0,0.4,0,48,42,30,120
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00114/env.xml,obstacle_0_movable,unsolvable,med,0.0,0.2235,0,19,52,14,85
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00115/env.xml,obstacle_0_movable,med,easy,0.1875,0.7,15,41,0,24,80
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00118/env.xml,obstacle_0_movable,hard,easy,0.04,0.6933,3,49,0,23,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00121/env.xml,obstacle_0_movable,unsolvable,easy,0.0,0.7067,0,53,5,17,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00124/env.xml,obstacle_0_movable,med,easy,0.0692,0.7231,9,85,29,7,130
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00125/env.xml,obstacle_0_movable,med,easy,0.08,0.7867,6,53,0,16,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00126/env.xml,obstacle_0_movable,unsolvable,med,0.0,0.2429,0,17,48,5,70
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00127/env.xml,obstacle_0_movable,easy,easy,0.4,1.0,16,24,0,0,40
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00128/env.xml,obstacle_0_movable,med,easy,0.2286,0.6143,16,27,0,27,70
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00133/env.xml,obstacle_0_movable,easy,easy,0.3,1.0,15,35,0,0,50
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00134/env.xml,obstacle_0_movable,med,easy,0.2933,0.84,22,41,0,12,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00135/env.xml,obstacle_0_movable,unsolvable,med,0.0,0.287,0,33,71,11,115
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00136/env.xml,obstacle_0_movable,med,easy,0.125,0.7875,10,53,0,17,80
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00138/env.xml,obstacle_0_movable,unsolvable,med,0.0,0.06,0,9,92,49,150
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00145/env.xml,obstacle_0_movable,unsolvable,unsolvable,0.0,0.0,0,0,68,32,100
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00153/env.xml,obstacle_0_movable,unsolvable,easy,0.0,0.3,0,15,25,10,50
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00155/env.xml,obstacle_0_movable,med,easy,0.1867,0.48,14,22,0,39,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00157/env.xml,obstacle_0_movable,med,easy,0.1176,0.7647,10,55,0,20,85
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00165/env.xml,obstacle_0_movable,easy,easy,0.6,1.0,18,12,0,0,30
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00170/env.xml,obstacle_0_movable,unsolvable,unsolvable,0.0,0.0,0,0,36,14,50
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00171/env.xml,obstacle_0_movable,unsolvable,easy,0.0,0.5655,0,82,52,11,145
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00172/env.xml,obstacle_0_movable,hard,easy,0.0444,0.6444,4,54,4,28,90
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00174/env.xml,obstacle_0_movable,easy,easy,0.4364,0.8364,24,22,0,9,55
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00176/env.xml,obstacle_0_movable,med,easy,0.0778,0.7,7,56,3,24,90
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00177/env.xml,obstacle_0_movable,unsolvable,easy,0.0,0.4533,0,34,24,17,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00179/env.xml,obstacle_0_movable,med,easy,0.15,0.5625,12,33,14,21,80
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00184/env.xml,obstacle_0_movable,hard,easy,0.0174,0.6522,2,73,2,38,115
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00186/env.xml,obstacle_0_movable,med,easy,0.2889,0.9778,13,31,1,0,45
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00188/env.xml,obstacle_0_movable,easy,easy,0.3143,0.6714,22,25,0,23,70
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00189/env.xml,obstacle_0_movable,unsolvable,easy,0.0,0.3286,0,23,45,2,70
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00191/env.xml,obstacle_0_movable,med,easy,0.0556,0.9111,5,77,0,8,90
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00194/env.xml,obstacle_0_movable,med,easy,0.2,0.5,2,3,0,5,10
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00196/env.xml,obstacle_0_movable,hard,easy,0.0308,0.8154,4,102,9,15,130
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00197/env.xml,obstacle_0_movable,med,easy,0.1067,0.8,8,52,0,15,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00198/env.xml,obstacle_0_movable,med,easy,0.075,0.6625,6,47,1,26,80
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00199/env.xml,obstacle_0_movable,unsolvable,unsolvable,0.0,0.0,0,0,40,10,50
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00200/env.xml,obstacle_0_movable,easy,easy,0.3333,1.0,15,30,0,0,45
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00203/env.xml,obstacle_0_movable,med,easy,0.0857,0.8667,9,82,0,14,105
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00204/env.xml,obstacle_0_movable,med,easy,0.0909,0.9273,10,92,0,8,110
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00205/env.xml,obstacle_0_movable,med,easy,0.2533,0.7067,19,34,0,22,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00207/env.xml,obstacle_0_movable,unsolvable,hard,0.0,0.0462,0,6,107,17,130
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00208/env.xml,obstacle_0_movable,med,easy,0.25,0.7125,20,37,1,22,80
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00211/env.xml,obstacle_0_movable,unsolvable,easy,0.0,0.5625,0,45,27,8,80
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00212/env.xml,obstacle_0_movable,unsolvable,unsolvable,0.0,0.0,0,0,23,12,35
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00215/env.xml,obstacle_0_movable,med,easy,0.2471,0.9294,21,58,0,6,85
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00216/env.xml,obstacle_0_movable,unsolvable,hard,0.0,0.037,0,5,115,15,135
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00218/env.xml,obstacle_0_movable,med,easy,0.2667,0.7867,20,39,0,16,75
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00224/env.xml,obstacle_0_movable,unsolvable,med,0.0,0.1667,0,5,0,25,30
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00225/env.xml,obstacle_0_movable,med,easy,0.1053,0.8,10,66,0,19,95
