xml,tier_old,tier_new,sr_hmax2_old,sr_hmax2_new,opener,setup,dead,blocked
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00256/env.xml,hard,easy,0.0168,0.7815,2,91,23,9
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00259/env.xml,easy,easy,0.3235,0.9412,6,26,1,2
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00264/env.xml,hard,easy,0.009,0.8018,1,88,14,22
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00265/env.xml,hard,hard,0.025,0.025,0,1,34,15
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00270/env.xml,easy,easy,0.587,0.9457,5,82,0,8
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00272/env.xml,easy,easy,0.7213,0.9836,19,41,0,5
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00273/env.xml,easy,easy,0.36,1.0,5,70,0,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00274/env.xml,easy,easy,0.825,0.825,12,21,0,32
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00282/env.xml,hard,easy,0.0161,0.5806,1,71,50,3
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00292/env.xml,med,med,0.0811,0.0811,0,9,95,31
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00295/env.xml,hard,hard,0.0085,0.0085,0,1,103,46
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00302/env.xml,easy,easy,0.7778,0.9444,22,46,0,7
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00316/env.xml,hard,hard,0.0088,0.0088,0,1,108,21
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00319/env.xml,easy,easy,0.3014,0.3014,0,22,41,37
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00322/env.xml,hard,hard,0.0174,0.0174,0,2,104,39
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00327/env.xml,med,med,0.2593,0.2222,0,12,34,34
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00334/env.xml,easy,easy,0.3684,0.6491,1,36,9,39
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00338/env.xml,easy,easy,0.3197,0.3279,0,40,78,17
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00339/env.xml,med,med,0.0794,0.0952,0,12,112,6
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00341/env.xml,easy,easy,0.4783,0.4783,0,33,35,2
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00347/env.xml,hard,hard,0.0238,0.0238,0,1,36,23
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00351/env.xml,easy,easy,0.9091,0.9091,8,12,0,10
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00352/env.xml,easy,easy,0.3889,0.8333,7,8,0,15
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00353/env.xml,easy,easy,0.7302,0.873,4,51,0,20
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00363/env.xml,hard,easy,0.0068,0.7055,1,102,39,8
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00366/env.xml,hard,med,0.0338,0.1486,4,18,123,15
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00390/env.xml,med,easy,0.1919,0.7778,4,73,13,25
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00392/env.xml,easy,easy,0.8095,0.9365,19,40,0,16
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00406/env.xml,med,med,0.0526,0.0526,0,5,82,38
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00408/env.xml,med,med,0.0619,0.0619,0,7,92,46
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00410/env.xml,med,easy,0.175,0.75,7,23,10,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00412/env.xml,easy,easy,0.4167,0.7315,6,73,22,14
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00420/env.xml,hard,hard,0.0091,0.0091,0,1,109,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00422/env.xml,easy,easy,0.8857,0.9429,11,22,0,7
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00423/env.xml,easy,easy,0.625,0.625,4,16,10,10
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00430/env.xml,hard,med,0.0165,0.1818,2,20,98,5
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00438/env.xml,hard,med,0.0286,0.2429,2,32,105,1
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00439/env.xml,med,easy,0.1714,0.6571,2,44,8,61
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00441/env.xml,hard,hard,0.0086,0.0086,0,1,113,6
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00444/env.xml,med,med,0.1975,0.1975,0,16,64,5
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00445/env.xml,easy,easy,0.5,0.8929,6,44,5,5
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00448/env.xml,med,med,0.1975,0.1975,0,16,62,7
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00458/env.xml,hard,hard,0.0189,0.0189,0,1,44,30
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00460/env.xml,med,easy,0.0679,0.679,2,108,47,8
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00463/env.xml,easy,easy,0.375,0.375,0,3,0,22
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00473/env.xml,easy,easy,0.6667,0.9524,21,19,0,10
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00474/env.xml,easy,easy,0.9167,0.9167,24,20,0,11
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00490/env.xml,easy,easy,0.5769,0.7564,7,52,13,18
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml,med,easy,0.1057,0.7561,1,92,23,19
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00495/env.xml,med,easy,0.2857,0.4762,3,27,27,18
/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00497/env.xml,easy,easy,0.9783,0.9783,18,27,0,5
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00000/env.xml,easy,easy,0.3659,0.5976,2,47,20,41
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00007/env.xml,easy,easy,0.3684,0.6754,6,71,28,25
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00008/env.xml,hard,easy,0.0082,0.5656,1,68,46,20
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00009/env.xml,med,easy,0.2778,0.6204,4,63,28,35
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00010/env.xml,hard,hard,0.0088,0.0088,0,1,108,11
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00011/env.xml,hard,hard,0.0114,0.0227,0,2,77,36
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00013/env.xml,med,med,0.0865,0.0865,0,9,77,64
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00016/env.xml,hard,easy,0.0163,0.8374,2,101,17,5
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00018/env.xml,hard,hard,0.036,0.036,0,5,129,16
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00020/env.xml,easy,easy,0.3793,0.7931,6,86,17,21
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00024/env.xml,hard,easy,0.021,0.5245,2,73,64,6
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00025/env.xml,med,med,0.0547,0.0547,0,7,116,12
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00026/env.xml,hard,easy,0.0323,0.5081,2,61,52,25
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00035/env.xml,hard,hard,0.0226,0.0226,0,3,123,24
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00039/env.xml,med,easy,0.0795,0.6821,5,98,41,16
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00041/env.xml,easy,easy,0.44,0.96,22,26,0,2
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00043/env.xml,easy,easy,0.3011,0.3011,0,28,54,43
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00051/env.xml,med,easy,0.0833,0.8917,5,102,13,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00052/env.xml,med,med,0.0515,0.0515,0,7,123,20
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00054/env.xml,med,easy,0.0916,0.8779,1,114,12,8
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00060/env.xml,med,med,0.0625,0.0625,0,9,132,9
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00061/env.xml,med,easy,0.05,0.5214,1,72,58,14
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00062/env.xml,hard,easy,0.0244,0.7642,3,91,28,3
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00063/env.xml,easy,easy,0.4051,0.8734,5,64,1,35
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00064/env.xml,hard,hard,0.0137,0.0137,0,2,141,7
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00067/env.xml,med,easy,0.0827,0.6165,2,80,46,12
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00089/env.xml,med,easy,0.0769,0.4359,4,64,85,7
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00091/env.xml,med,med,0.0619,0.0619,0,7,90,53
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00095/env.xml,med,med,0.0803,0.0803,0,11,123,6
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00097/env.xml,hard,easy,0.0282,0.6549,1,92,47,5
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00098/env.xml,easy,easy,0.3233,0.3459,0,46,84,15
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00101/env.xml,easy,easy,0.4144,0.8198,7,84,12,22
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00104/env.xml,easy,easy,0.369,0.7262,5,56,16,28
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00106/env.xml,med,easy,0.0745,0.646,10,94,51,10
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00113/env.xml,med,easy,0.089,0.7877,10,105,26,9
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00114/env.xml,med,easy,0.0576,0.5899,1,81,52,11
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00121/env.xml,med,med,0.0636,0.0545,0,6,90,54
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00122/env.xml,hard,hard,0.0403,0.0403,0,5,110,35
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00125/env.xml,med,easy,0.1333,0.7467,3,109,38,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00127/env.xml,hard,hard,0.0083,0.0,0,0,117,13
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00128/env.xml,easy,easy,0.4194,0.9032,2,82,3,13
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00130/env.xml,med,med,0.0696,0.0696,0,8,95,42
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00135/env.xml,med,med,0.1515,0.1515,1,4,25,10
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00143/env.xml,med,med,0.0833,0.2308,10,26,117,12
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00147/env.xml,easy,easy,0.6875,0.6875,1,10,0,19
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00148/env.xml,hard,easy,0.0377,0.4528,4,44,43,49
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00152/env.xml,med,easy,0.2043,0.8065,4,71,11,24
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00156/env.xml,easy,easy,0.3243,0.3243,0,36,65,34
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00161/env.xml,easy,easy,0.3308,0.594,6,73,47,14
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00162/env.xml,hard,easy,0.0138,0.6345,1,91,53,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00164/env.xml,hard,hard,0.0073,0.0073,0,1,131,18
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00166/env.xml,med,easy,0.0692,0.4462,9,49,63,29
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00168/env.xml,easy,easy,0.8125,0.8542,15,26,0,34
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00171/env.xml,hard,easy,0.0342,0.7863,3,89,22,11
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00174/env.xml,hard,hard,0.024,0.024,0,3,112,35
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00176/env.xml,easy,easy,0.386,0.9474,5,49,0,11
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00179/env.xml,med,easy,0.0552,0.7034,3,99,41,7
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00180/env.xml,med,med,0.0826,0.0826,0,9,87,34
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00188/env.xml,med,easy,0.0764,0.3631,9,48,93,10
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00195/env.xml,med,med,0.0756,0.0756,0,9,106,10
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00211/env.xml,easy,easy,0.7027,0.9189,9,25,0,6
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00217/env.xml,easy,easy,0.312,0.312,0,39,85,1
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00225/env.xml,hard,hard,0.0142,0.0142,0,2,136,12
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00228/env.xml,hard,hard,0.0072,0.0072,0,1,133,16
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00230/env.xml,easy,easy,0.3504,0.8832,8,113,14,5
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00232/env.xml,easy,easy,0.3854,0.75,5,67,17,26
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00233/env.xml,hard,easy,0.0097,0.6602,1,67,24,33
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00234/env.xml,med,med,0.0526,0.0602,0,8,119,23
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00239/env.xml,med,med,0.0763,0.0763,0,9,104,12
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00243/env.xml,hard,hard,0.0362,0.029,0,4,128,18
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00246/env.xml,med,easy,0.1954,0.5632,2,47,24,42
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00249/env.xml,hard,med,0.0308,0.1385,1,17,112,0
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00266/env.xml,easy,easy,0.386,0.6754,6,71,29,29
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00268/env.xml,easy,easy,0.4068,0.9407,6,105,2,12
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00279/env.xml,med,med,0.0833,0.0833,0,10,101,39
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00281/env.xml,easy,easy,0.3222,0.3222,0,29,44,57
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00282/env.xml,hard,easy,0.0224,0.5224,3,67,61,4
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00283/env.xml,easy,easy,0.3229,0.3229,0,31,55,39
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00284/env.xml,med,med,0.0661,0.0661,0,8,104,38
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00286/env.xml,easy,easy,0.3761,0.8803,7,96,9,13
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00288/env.xml,easy,easy,0.7952,0.988,26,56,0,3
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00291/env.xml,easy,easy,0.4222,0.7037,7,88,35,15
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00293/env.xml,med,easy,0.0719,0.6691,5,88,43,4
/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00297/env.xml,med,easy,0.0769,0.5577,10,77,59,14
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00001/env.xml,easy,easy,0.8235,0.8627,16,28,0,31
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00009/env.xml,easy,easy,0.8,0.8833,18,35,0,27
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00010/env.xml,easy,easy,0.9091,0.9091,4,6,0,5
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00011/env.xml,easy,easy,0.6125,0.75,4,56,9,26
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00014/env.xml,med,med,0.069,0.069,0,8,105,7
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00019/env.xml,med,easy,0.2195,0.3659,1,14,23,12
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00020/env.xml,easy,easy,0.4833,0.4833,0,29,28,8
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00029/env.xml,easy,easy,0.4444,0.6852,1,36,9,24
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00033/env.xml,easy,easy,0.8767,0.9452,23,46,0,6
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00042/env.xml,hard,hard,0.0284,0.0284,0,4,133,13
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00046/env.xml,easy,easy,0.78,0.86,15,28,0,32
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00048/env.xml,easy,easy,0.775,0.9,12,24,0,14
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00054/env.xml,easy,easy,0.5439,0.8947,14,37,0,24
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00058/env.xml,easy,easy,0.6964,0.9107,9,42,4,5
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00061/env.xml,med,med,0.0889,0.0889,0,4,32,34
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00064/env.xml,easy,easy,0.8333,0.8056,15,14,0,21
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00065/env.xml,easy,easy,0.8889,0.9048,19,38,0,18
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00075/env.xml,easy,easy,0.8696,0.8478,13,26,0,21
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00077/env.xml,hard,easy,0.0377,0.8396,4,85,11,15
/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_202/rb_00002/env.xml,easy,easy,0.48,0.48,0,25,19,31
