axis,build_id,tier,best_corridor_cm,worst_corridor_cm,dead_if_threshold_over,worst_route_below_8,marker_verdict,solve_rate,xml
1push,hard_094,hard,9.61,7.97,9.9,yes,strict,0.0381,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_301/rb_00068/env.xml
1push,hard_011,hard,9.67,9.67,9.9,no,strict,0.0069,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00097/env.xml
1push,hard_034,hard,9.67,9.50,9.9,no,strict,0.016,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_301/rb_00082/env.xml
1push,hard_052,hard,9.67,9.27,9.9,no,strict,0.0222,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_202/rb_00074/env.xml
1push,hard_055,hard,9.67,9.27,9.9,no,strict,0.0143,/common/users/dm1487/scratch_namo/real_buildable/pool4b/j_619/rb_00010/env.xml
1push,med_022,med,9.67,9.50,9.9,no,strict,0.075,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_302/rb_00019/env.xml
hmax2,med_046,med,9.67,9.44,9.9,no,strict,0.0621,/common/users/dm1487/scratch_namo/real_buildable/pool4b/j_619/rb_00019/env.xml
1push,hard_065,hard,9.72,9.55,9.9,no,strict,0.016,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_510/rb_00000/env.xml
1push,hard_079,hard,9.72,8.53,9.9,no,strict,0.0222,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00282/env.xml
hmax2,med_006,med,9.72,9.21,9.9,no,strict,0.1667,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00224/env.xml
1push,hard_050,hard,9.78,9.33,9.9,no,strict,0.0211,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_302/rb_00064/env.xml
1push,med_012,med,9.84,9.61,9.9,no,strict,0.05,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_522/rb_00004/env.xml
1push,hard_047,hard,9.89,9.50,9.9,no,strict,0.0138,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00024/env.xml
1push,hard_081,hard,9.89,9.27,9.9,no,strict,0.0222,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_301/rb_00067/env.xml
1push,hard_091,hard,9.89,9.89,9.9,no,strict,0.024,/common/users/dm1487/scratch_namo/real_buildable/pool4b/j_602/rb_00008/env.xml
hmax2,hard_042,hard,9.89,9.67,9.9,no,strict,0.0174,/common/users/dm1487/scratch_namo/real_buildable/pool4b/j_606/rb_00002/env.xml
hmax2,med_023,med,9.89,9.78,9.9,no,strict,0.1333,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_202/rb_00013/env.xml
1push,hard_019,hard,9.95,9.95,11.0,no,strict,0.0071,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_202/rb_00027/env.xml
1push,hard_049,hard,9.95,9.67,11.0,no,strict,0.0138,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_301/rb_00010/env.xml
1push,hard_063,hard,9.95,9.33,11.0,no,strict,0.016,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00016/env.xml
hmax2,med_078,med,9.95,9.10,11.0,no,strict,0.1259,/common/users/dm1487/scratch_namo/real_buildable/pool4b/j_619/rb_00020/env.xml
1push,hard_029,hard,10.01,10.01,11.0,no,strict,0.0077,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00249/env.xml
1push,hard_053,hard,10.01,10.01,11.0,no,retarget,0.0143,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00067/env.xml
1push,hard_077,hard,10.06,9.33,11.0,no,strict,0.0214,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_304/rb_00006/env.xml
1push,hard_008,hard,10.12,10.12,11.0,no,strict,0.0069,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00061/env.xml
1push,med_011,med,10.12,8.99,11.0,no,retarget,0.075,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_202/rb_00026/env.xml
hmax2,hard_036,hard,10.12,10.12,11.0,no,strict,0.0167,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_301/rb_00083/env.xml
1push,hard_002,hard,10.18,10.18,11.0,no,strict,0.02,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_201/rb_00019/env.xml
1push,hard_061,hard,10.18,9.67,11.0,no,strict,0.016,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00430/env.xml
1push,hard_014,hard,10.23,10.23,11.0,no,strict,0.0083,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_301/rb_00045/env.xml
1push,med_017,med,10.23,9.72,11.0,no,strict,0.0533,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00353/env.xml
hmax2,hard_052,hard,10.23,9.21,11.0,no,strict,0.0214,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_206/rb_00011/env.xml
1push,hard_045,hard,10.35,9.95,11.0,no,strict,0.0133,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00006/env.xml
1push,med_002,med,10.35,9.10,11.0,no,strict,0.0533,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00111/env.xml
1push,med_044,med,10.35,9.72,11.0,no,strict,0.0526,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00270/env.xml
1push,med_055,med,10.46,8.99,11.0,no,strict,0.1273,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_208/rb_00033/env.xml
hmax2,easy_074,easy,10.46,9.72,11.0,no,strict,0.3667,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_507/rb_00003/env.xml
hmax2,hard_044,hard,10.46,10.23,11.0,no,strict,0.02,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00035/env.xml
hmax2,med_002,med,10.46,10.46,11.0,no,retarget,0.0667,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_204/rb_00078/env.xml
1push,hard_028,hard,10.57,10.23,11.0,no,strict,0.0143,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00026/env.xml
1push,hard_051,hard,10.57,10.18,11.0,no,strict,0.0143,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00438/env.xml
1push,med_071,med,10.57,8.70,11.0,no,strict,0.2,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_207/rb_00010/env.xml
hmax2,easy_093,easy,10.63,8.70,11.0,no,strict,0.3667,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00147/env.xml
hmax2,hard_020,hard,10.63,10.63,11.0,no,strict,0.0091,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00420/env.xml
hmax2,hard_028,hard,10.63,10.57,11.0,no,strict,0.0138,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00322/env.xml
1push,hard_043,hard,10.69,9.84,11.0,no,strict,0.0121,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_304/rb_00025/env.xml
1push,hard_098,hard,10.74,7.97,11.0,yes,strict,0.04,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_202/rb_00070/env.xml
1push,med_029,med,10.74,9.33,11.0,no,strict,0.0556,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00191/env.xml
hmax2,easy_041,easy,10.74,8.42,11.0,no,strict,0.4533,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00177/env.xml
hmax2,hard_001,hard,10.74,10.74,11.0,no,strict,0.0067,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00295/env.xml
hmax2,hard_022,hard,10.74,10.57,11.0,no,strict,0.0133,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00064/env.xml
hmax2,med_056,med,10.74,9.27,11.0,no,strict,0.072,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00239/env.xml
hmax2,med_067,med,10.74,7.57,11.0,yes,strict,0.08,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_206/rb_00020/env.xml
1push,easy_069,easy,10.80,10.18,11.0,no,strict,0.3333,/common/users/dm1487/scratch_namo/real_buildable/pool3/h2_409/rb_00055/env.xml
1push,med_092,med,10.80,9.95,11.0,no,strict,0.06,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_203/rb_00014/env.xml
hmax2,hard_055,hard,10.80,8.76,11.0,no,strict,0.04,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00121/env.xml
hmax2,hard_024,hard,10.91,10.86,11.0,no,strict,0.0133,/common/users/dm1487/scratch_namo/real_buildable/pool1/med/rb_00225/env.xml
hmax2,hard_039,hard,10.91,8.76,11.0,no,strict,0.0286,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_203/rb_00026/env.xml
1push,easy_058,easy,10.97,10.80,11.0,no,strict,0.4,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00127/env.xml
1push,hard_010,hard,10.97,10.97,11.0,no,retarget,0.0333,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_206/rb_00066/env.xml
1push,hard_022,hard,10.97,10.74,11.0,no,strict,0.0125,/common/users/dm1487/scratch_namo/real_buildable/pool2/med_303/rb_00014/env.xml
hmax2,easy_016,easy,10.97,8.76,11.0,no,strict,0.3455,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00052/env.xml
hmax2,hard_034,hard,10.97,9.33,11.0,no,strict,0.016,/common/users/dm1487/scratch_namo/real_buildable/pool4/j_517/rb_00013/env.xml
hmax2,med_010,med,10.97,10.74,11.0,no,strict,0.1667,/common/users/dm1487/scratch_namo/real_buildable/pool2/hard_206/rb_00066/env.xml
